method,K,n_features,accuracy,n_correct,n_total,full_substrate_baseline
simper,100,809,0.5853658536585366,96,164,0.6463414634146342
simper,250,1683,0.6280487804878049,103,164,0.6463414634146342
simper,500,2867,0.6402439024390244,105,164,0.6463414634146342
simper,1000,4921,0.6402439024390244,105,164,0.6463414634146342
simper,2500,10363,0.6463414634146342,106,164,0.6463414634146342
scbd,100,1158,0.6341463414634146,104,164,0.6463414634146342
scbd,250,2718,0.6463414634146342,106,164,0.6463414634146342
scbd,500,5049,0.6463414634146342,106,164,0.6463414634146342
scbd,1000,9053,0.6463414634146342,106,164,0.6463414634146342
scbd,2500,18258,0.6463414634146342,106,164,0.6463414634146342
cap,100,1074,0.3170731707317073,52,164,0.6463414634146342
cap,250,2474,0.4024390243902439,66,164,0.6463414634146342
cap,500,4384,0.40853658536585363,67,164,0.6463414634146342
cap,1000,7956,0.4634146341463415,76,164,0.6463414634146342
cap,2500,15999,0.5304878048780488,87,164,0.6463414634146342
stability_l1,100,1582,0.7378048780487805,121,164,0.6463414634146342
stability_l1,250,3822,0.7073170731707317,116,164,0.6463414634146342
stability_l1,500,7209,0.7195121951219512,118,164,0.6463414634146342
stability_l1,1000,13047,0.7560975609756098,124,164,0.6463414634146342
stability_l1,2500,28179,0.6585365853658537,108,164,0.6463414634146342
