"freeze_id","taxonomy_release","analysis_unit_taxid","analysis_unit_name","phylum","analysis_unit_inventory_rows","representation","sequence_role","anchor_index","source_database","source_release","accession_version","source_record_taxid","source_organism","source_record_length","silva_start","silva_stop","silva_tree_tip","candidate_pool_size","selection_score","selection_rule","proxy_flag","proxy_reason","sequence_fetch_method","approval_status","tip_id","sequence_length","primary_length_gate"
"figure3-ssu-curated-freeze-2026-08-04-v3","ncbi-phylum-2026-08-04-v1","1663","Arthrobacter","Actinomycetota","2","genus_anchor_set_mean","genus_anchor","1","SILVA","138.2","CP018864","","Arthrobacter crystallopoietes","1500","16283","17782","CP018864.16283.17782","241","1001","Distinct named descendant species; best near-full SILVA SSU per species; up to three anchors","FALSE","","SILVA 138.2 NR99 FASTA already truncated to SSU rRNA","curated_primary_candidate_pending_submitted_S1_reconciliation","V3T001_1663_A1","1500","TRUE"
"figure3-ssu-curated-freeze-2026-08-04-v3","ncbi-phylum-2026-08-04-v1","1663","Arthrobacter","Actinomycetota","2","genus_anchor_set_mean","genus_anchor","2","SILVA","138.2","KC987008","","Arthrobacter agilis","1501","1","1501","KC987008.1.1501","241","1000","Distinct named descendant species; best near-full SILVA SSU per species; up to three anchors","FALSE","","SILVA 138.2 NR99 FASTA already truncated to SSU rRNA","curated_primary_candidate_pending_submitted_S1_reconciliation","V3T002_1663_A2","1497","TRUE"
"figure3-ssu-curated-freeze-2026-08-04-v3","ncbi-phylum-2026-08-04-v1","1663","Arthrobacter","Actinomycetota","2","genus_anchor_set_mean","genus_anchor","3","SILVA","138.2","AJ243422","","Arthrobacter luteolus","1499","1","1499","AJ243422.1.1499","241","1000","Distinct named descendant species; best near-full SILVA SSU per species; up to three anchors","FALSE","","SILVA 138.2 NR99 FASTA already truncated to SSU rRNA","curated_primary_candidate_pending_submitted_S1_reconciliation","V3T003_1663_A3","1498","TRUE"
"figure3-ssu-curated-freeze-2026-08-04-v3","ncbi-phylum-2026-08-04-v1","1664","Arthrobacter glacialis","Actinomycetota","4","exact_taxon_tip","analysis_unit_tip","1","NCBI Nucleotide","live accession metadata retrieved 2026-08-04","NR_178556.1","1664","Arthrobacter glacialis strain HLT2-12-2 16S ribosomal RNA, partial sequence","1525","","","","21","3244.989","Highest deterministic exact-taxon NCBI candidate score: RefSeq NR preferred; SSU marker required; clean standalone SSU and near-full length preferred; organelle records rejected; annotated SSU feature will be extracted","FALSE","","NCBI GenBank record; extract annotated 16S/18S rRNA feature only","curated_primary_candidate_pending_submitted_S1_reconciliation","V3T004_1664_A1","1525","TRUE"
"figure3-ssu-curated-freeze-2026-08-04-v3","ncbi-phylum-2026-08-04-v1","1839","Nocardioides","Actinomycetota","1","genus_anchor_set_mean","genus_anchor","1","SILVA","138.2","KM347967","","Nocardioides antarcticus","1500","1","1500","KM347967.1.1500","160","1001","Distinct named descendant species; best near-full SILVA SSU per species; up to three anchors","FALSE","","SILVA 138.2 NR99 FASTA already truncated to SSU rRNA","curated_primary_candidate_pending_submitted_S1_reconciliation","V3T005_1839_A1","1500","TRUE"
"figure3-ssu-curated-freeze-2026-08-04-v3","ncbi-phylum-2026-08-04-v1","1839","Nocardioides","Actinomycetota","1","genus_anchor_set_mean","genus_anchor","2","SILVA","138.2","KM085325","","Nocardioides echinoideorum","1499","1","1499","KM085325.1.1499","160","1000","Distinct named descendant species; best near-full SILVA SSU per species; up to three anchors","FALSE","","SILVA 138.2 NR99 FASTA already truncated to SSU rRNA","curated_primary_candidate_pending_submitted_S1_reconciliation","V3T006_1839_A2","1498","TRUE"
"figure3-ssu-curated-freeze-2026-08-04-v3","ncbi-phylum-2026-08-04-v1","1839","Nocardioides","Actinomycetota","1","genus_anchor_set_mean","genus_anchor","3","SILVA","138.2","EF466123","","Nocardioides islandensis","1501","1","1501","EF466123.1.1501","160","1000","Distinct named descendant species; best near-full SILVA SSU per species; up to three anchors","FALSE","","SILVA 138.2 NR99 FASTA already truncated to SSU rRNA","curated_primary_candidate_pending_submitted_S1_reconciliation","V3T007_1839_A3","1500","TRUE"
"figure3-ssu-curated-freeze-2026-08-04-v3","ncbi-phylum-2026-08-04-v1","2697569","Pseudarthrobacter psychrotolerans","Actinomycetota","1","exact_taxon_tip","analysis_unit_tip","1","NCBI Nucleotide","live accession metadata retrieved 2026-08-04","PP928095.1","2697569","Pseudarthrobacter psychrotolerans strain DKR2AH7-1 16S ribosomal RNA gene, partial sequence","1509","","","","25","1248.178","Highest deterministic exact-taxon NCBI candidate score: RefSeq NR preferred; SSU marker required; clean standalone SSU and near-full length preferred; organelle records rejected; annotated SSU feature will be extracted","FALSE","","NCBI GenBank record; extract annotated 16S/18S rRNA feature only","curated_primary_candidate_pending_submitted_S1_reconciliation","V3T008_2697569_A1","1509","TRUE"
"figure3-ssu-curated-freeze-2026-08-04-v3","ncbi-phylum-2026-08-04-v1","1827","Rhodococcus","Actinomycetota","4","genus_anchor_set_mean","genus_anchor","1","SILVA","138.2","EU741104","","Rhodococcus gordoniae","1500","1","1500","EU741104.1.1500","397","1001","Distinct named descendant species; best near-full SILVA SSU per species; up to three anchors","FALSE","","SILVA 138.2 NR99 FASTA already truncated to SSU rRNA","curated_primary_candidate_pending_submitted_S1_reconciliation","V3T009_1827_A1","1500","TRUE"
"figure3-ssu-curated-freeze-2026-08-04-v3","ncbi-phylum-2026-08-04-v1","1827","Rhodococcus","Actinomycetota","4","genus_anchor_set_mean","genus_anchor","2","SILVA","138.2","CP022915","","Rhodococcus pyridinivorans","1500","560613","562112","CP022915.560613.562112","397","1001","Distinct named descendant species; best near-full SILVA SSU per species; up to three anchors","FALSE","","SILVA 138.2 NR99 FASTA already truncated to SSU rRNA","curated_primary_candidate_pending_submitted_S1_reconciliation","V3T010_1827_A2","1500","TRUE"
"figure3-ssu-curated-freeze-2026-08-04-v3","ncbi-phylum-2026-08-04-v1","1827","Rhodococcus","Actinomycetota","4","genus_anchor_set_mean","genus_anchor","3","SILVA","138.2","AB046362","","Rhodococcus erythropolis","1501","1","1501","AB046362.1.1501","397","1000","Distinct named descendant species; best near-full SILVA SSU per species; up to three anchors","FALSE","","SILVA 138.2 NR99 FASTA already truncated to SSU rRNA","curated_primary_candidate_pending_submitted_S1_reconciliation","V3T011_1827_A3","1493","TRUE"
"figure3-ssu-curated-freeze-2026-08-04-v3","ncbi-phylum-2026-08-04-v1","1883","Streptomyces","Actinomycetota","1","genus_anchor_set_mean","genus_anchor","1","SILVA","138.2","LC008305","","Streptomyces andamanensis","1500","1","1500","LC008305.1.1500","3766","1001","Distinct named descendant species; best near-full SILVA SSU per species; up to three anchors","FALSE","","SILVA 138.2 NR99 FASTA already truncated to SSU rRNA","curated_primary_candidate_pending_submitted_S1_reconciliation","V3T012_1883_A1","1491","TRUE"
"figure3-ssu-curated-freeze-2026-08-04-v3","ncbi-phylum-2026-08-04-v1","1883","Streptomyces","Actinomycetota","1","genus_anchor_set_mean","genus_anchor","2","SILVA","138.2","EF654097","","Streptomyces drozdowiczii","1500","1","1500","EF654097.1.1500","3766","1001","Distinct named descendant species; best near-full SILVA SSU per species; up to three anchors","FALSE","","SILVA 138.2 NR99 FASTA already truncated to SSU rRNA","curated_primary_candidate_pending_submitted_S1_reconciliation","V3T013_1883_A2","1498","TRUE"
